plot_id,tree_id,mu,plot,year,species,distance,azimuth,expf,dbh,height,hcb,cr_north,cr_east,cr_south,cr_west
27_61.2002,5100,27,61,2002,RS,15.48384,32.6,12.35527,41.40199807,21.63777862,11.24543028,4.32816,4.20624,4.78536,3.081528
27_61.2002,10700,27,61,2002,RM,1.9812,53.6,12.35527,20.06600024,15.90201899,9.631487518,1.79832,2.22504,2.25552,2.25552
27_61.2002,14300,27,61,2002,RS,12.83208,38.6,12.35527,30.22599903,18.72311665,10.43108372,2.46888,1.55448,3.081528,4.35864
27_61.2002,14900,27,61,2002,WP,10.24128,35.6,12.35527,12.7,9.940708046,5.756579938,2.25552,3.01752,3.2004,2.52984
27_61.2002,15000,27,61,2002,RS,15.05712,46.6,12.35527,29.97200048,18.6713139,10.47706734,3.01752,0.947928,2.286,1.70688
27_61.2002,21500,27,61,2002,PB,4.17576,75.6,12.35527,15.49399976,14.2140085,8.650689901,2.01168,3.41376,1.3716,1.28016
27_61.2002,22900,27,61,2002,RS,8.77824,85.6,12.35527,30.73400097,18.86030878,10.42863975,1.9812,2.65176,3.386328,2.19456
27_61.2002,24600,27,61,2002,RS,13.92936,93.6,12.35527,34.79799952,20.02022289,10.74840134,1.88976,2.62128,3.44424,3.74904
27_61.2002,52400,27,61,2002,RM,6.49224,193.6,12.35527,11.68399976,11.91484043,7.285793413,0.94488,0.51816,3.84048,2.83464
27_61.2002,62600,27,61,2002,EH,7.37616,241.6,12.35527,21.59,13.27987028,5.701469144,3.77952,2.471928,2.31648,2.37744
27_61.2002,63200,27,61,2002,EH,9.93648,250.6,12.35527,19.55799951,12.44312341,5.40086435,2.8956,1.8288,5.57784,2.80416
27_61.2002,63300,27,61,2002,EH,9.81456,240.6,12.35527,27.68599903,15.50913601,6.507703627,2.34696,2.25552,2.25552,0.64008
27_61.2002,64000,27,61,2002,RM,11.7348,232.6,12.35527,11.43,11.78016392,7.214329958,1.46304,3.71856,3.07848,1.31064
27_61.2002,65100,27,61,2002,RS,15.57528,255.6,12.35527,14.22399976,11.54628996,6.692227847,1.55448,1.3716,1.00584,1.85928
27_61.2002,71900,27,61,2002,BF,5.30352,261.6,12.35527,16.00200049,12.22029148,6.402527675,1.95072,1.9812,1.79832,1.3716
27_61.2002,73500,27,61,2002,RS,10.39368,263.6,12.35527,33.27400097,19.60292643,10.6387333,2.16408,2.8956,1.79832,2.25552
