plot_id,tree_id,mu,plot,year,species,distance,azimuth,expf,dbh,height,hcb,cr_north,cr_east,cr_south,cr_west
27_61.2002,74900,27,61,2002,RS,14.87424,290.6,12.35527,23.87599903,16.39057211,9.355024378,0.79248,1.862328,3.56616,0.94488
27_61.2002,83100,27,61,2002,RS,9.26592,313.6,12.35527,18.03399976,13.70593636,7.959714376,0,2.286,2.46888,1.58496
27_61.2002,84500,27,61,2002,EH,13.44168,302.6,12.35527,27.94,15.56670943,6.478910513,3.020657649,3.020657649,3.020657649,3.020657649
27_61.2002,84700,27,61,2002,RS,13.92936,317.6,12.35527,35.81400097,20.27005316,10.76005705,2.19456,2.16408,3.68808,4.2672
27_61.2002,84800,27,61,2002,RS,14.75232,317.6,12.35527,22.35200049,15.75733824,9.056770545,1.977010618,1.977010618,1.977010618,1.977010618
27_61.2002,93700,27,61,2002,RS,11.18616,322.6,12.35527,20.06600024,14.70275942,8.489321569,1.828263136,1.828263136,1.828263136,1.828263136
27_61.2002,94400,27,61,2002,RS,12.92352,329.6,12.35527,22.86,15.96458638,9.14380272,2.009485501,2.009485501,2.009485501,2.009485501
27_61.2002,94600,27,61,2002,RS,13.89888,337.6,12.35527,33.27400097,19.60292643,10.6387333,2.638036232,2.638036232,2.638036232,2.638036232
27_61.2002,94800,27,61,2002,BF,14.50848,331.6,12.35527,11.68399976,9.731005689,5.082916334,1.70688,1.43256,1.88976,1.3716
9_32.1999,3200,9,32,1999,BF,9.32688,358.1,12.35525815,12.44600024,10.10555584,5.527628953,0,0.36576,1.47828,1.53924
9_32.1999,4000,9,32,1999,EH,11.70432,250.1,12.35525815,11.93799951,8.498709812,3.900615366,2.8956,2.46888,2.5908,2.86512
9_32.1999,4200,9,32,1999,RS,12.8016,2.1,12.35525815,30.48,18.16062641,10.08986282,3.26136,3.16992,3.79476,3.23088
9_32.1999,4700,9,32,1999,BF,14.44752,4.1,12.35525815,13.97,10.89672997,5.90026816,2.7432,2.30124,1.63068,2.3622
9_32.1999,11800,9,32,1999,WS,5.7912,34.1,12.35525815,11.68399976,9.097219907,4.932223944,1.47828,1.2954,1.79832,1.76784
9_32.1999,12600,9,32,1999,WP,8.04672,34.1,12.35525815,18.54200049,12.6786915,7.377363864,3.32232,2.46888,2.46888,3.01752
9_32.1999,12700,9,32,1999,BF,8.44296,31.1,12.35525815,15.24,11.53506084,6.204029493,2.16408,2.78892,1.85928,1.9812
9_32.1999,14000,9,32,1999,BF,11.97864,9.1,12.35525815,16.00200049,11.87228894,6.326947672,2.4384,2.56032,2.69748,1.38684
9_32.1999,15200,9,32,1999,BF,15.78864,57.1,12.35525815,14.47799951,11.15658965,6.025749768,1.66116,1.85928,2.10312,1.8288
9_32.1999,20800,9,32,1999,BF,2.49936,86.1,12.35525815,19.55799951,13.488313,7.070865131,1.05156,1.99644,2.46888,3.18516
9_32.1999,21900,9,32,1999,WP,5.7912,90.1,12.35525815,58.67400097,22.31858882,10.97441376,4.4958,3.429,4.66344,5.57784
9_32.1999,22600,9,32,1999,RS,7.86384,56.1,12.35525815,11.68399976,9.89861883,5.967856113,1.84404,1.41732,1.6764,2.8194
9_32.1999,23200,9,32,1999,RM,9.66216,76.1,12.35525815,24.13,16.6902999,10.01728468,2.84988,2.31648,4.05384,4.61772
9_32.1999,24300,9,32,1999,RS,12.83208,81.1,12.35525815,26.16200048,16.71469934,9.480786609,3.13944,1.56972,2.94132,2.65176
9_32.1999,25100,9,32,1999,RM,15.30096,83.1,12.35525815,29.71799952,18.13862797,10.54093447,4.46532,3.93192,3.61188,1.99644
9_32.1999,33500,9,32,1999,RS,11.03376,112.1,12.35525815,22.35200049,15.24044748,8.796074782,2.77368,2.22504,1.3716,2.78892
9_32.1999,35200,9,32,1999,EH,15.11808,116.1,12.35525815,31.49599903,15.95534739,6.404635758,4.25196,2.91084,4.06908,4.40436
9_32.1999,43900,9,32,1999,RM,11.52144,125.1,12.35525815,32.25799952,18.64687616,10.55836559,2.72796,2.0574,4.40436,5.34924
9_32.1999,44600,9,32,1999,EH,13.99032,130.1,12.35525815,25.4,14.15122217,5.966270956,2.01168,3.38328,4.14528,3.71856
9_32.1999,44700,9,32,1999,EH,14.05128,145.1,12.35525815,25.14599903,14.08467826,5.97784684,1.3716,3.00228,2.92608,3.01752
9_32.1999,50400,9,32,1999,WS,2.8956,187.1,12.35525815,17.52600024,12.1817848,6.369627143,1.88976,1.84404,1.79832,1.76784
9_32.1999,51100,9,32,1999,BF,4.1148,171.1,12.35525815,11.43,9.540015405,5.243339361,1.72212,1.49352,1.69164,1.69164
9_32.1999,54600,9,32,1999,EH,13.47216,185.1,12.35525815,20.06600024,12.17098283,5.269614456,2.94132,2.667,2.46888,2.54508
9_32.1999,61300,9,32,1999,BF,3.71856,204.1,12.35525815,11.43,9.540015405,5.243339361,1.12776,1.15824,1.40208,1.69164
9_32.1999,62800,9,32,1999,RS,9.02208,226.1,12.35525815,14.73200049,11.60370035,6.889531665,1.8288,2.04216,1.56972,1.7526
9_32.1999,63500,9,32,1999,WP,10.668,200.1,12.35525815,41.91,19.91956983,10.54986655,4.31292,4.20624,3.44424,2.25552
9_32.1999,63900,9,32,1999,RS,11.67384,229.1,12.35525815,13.71600024,11.05799349,6.601988353,1.73736,1.0668,0.92964,1.43256
9_32.1999,64100,9,32,1999,BF,13.31976,220.1,12.35525815,11.93799951,9.818633693,5.378168943,1.26492,0.54864,1.84404,1.49352
9_32.1999,64200,9,32,1999,WS,13.31976,227.1,12.35525815,13.46200049,10.11739965,5.446241932,1.20396,0.44196,2.25552,1.85928
9_32.1999,64800,9,32,1999,EH,14.41704,205.1,12.35525815,28.70200048,15.20610667,6.302311356,3.48996,3.32232,2.34696,3.10896
9_32.1999,71100,9,32,1999,WS,3.44424,232.1,12.35525815,15.74799951,11.29742305,5.970519962,1.81356,0.89916,0.71628,1.905
9_32.1999,72800,9,32,1999,RS,7.37616,262.1,12.35525815,15.74799951,12.12035957,7.146034046,1.46304,1.24968,1.47828,1.23444
9_32.1999,73600,9,32,1999,BF,10.88136,260.1,12.35525815,13.71600024,10.7641062,5.834988597,0.33528,0.85344,1.09728,1.50876
9_32.1999,74000,9,32,1999,BF,12.00912,257.1,12.35525815,11.43,9.540015405,5.243339361,0.67056,1.18872,1.143,0.73152
9_32.1999,74200,9,32,1999,BF,12.71016,252.1,12.35525815,12.44600024,10.10555584,5.527628953,0.92964,1.05156,2.02692,0.77724
9_32.1999,74600,9,32,1999,BF,14.11224,260.1,12.35525815,12.95399976,10.37697893,5.659393266,1.12776,0.97536,1.53924,1.18872
9_32.1999,74800,9,32,1999,RS,14.23416,238.1,12.35525815,18.03399976,13.25439221,7.72873888,1.55448,1.43256,1.66116,1.88976
9_32.1999,81400,9,32,1999,RS,4.48056,282.1,12.35525815,16.76399976,12.62557835,7.397673426,1.76784,1.31064,1.69164,1.905
9_32.1999,83900,9,32,1999,BF,10.8204,265.1,12.35525815,16.25600024,11.99041789,6.378183821,0.51816,1.524,0.36576,1.41732
9_32.1999,84000,9,32,1999,BF,11.21664,279.1,12.35525815,15.49399976,11.65783754,6.260160931,2.24028,0.96012,0.32004,2.01168
9_32.1999,84200,9,32,1999,BF,12.40536,275.1,12.35525815,13.71600024,10.7641062,5.834988597,1.23444,0.54864,1.28016,0.89916
9_32.1999,85000,9,32,1999,BF,14.9352,276.1,12.35525815,16.76399976,12.22156051,6.475172407,1.53924,1.53924,0.51816,0.97536
9_32.1999,92500,9,32,1999,BF,7.52856,321.1,12.35525815,17.01799951,12.33504272,6.521603997,1.09728,1.2954,1.50876,0.86868
9_32.1999,92900,9,32,1999,BF,8.90016,340.1,12.35525815,12.7,10.23763598,5.588070616,0.97536,1.99644,1.23444,0.50292
9_32.1999,93000,9,32,1999,WP,9.11352,335.1,12.35525815,14.47799951,10.76292334,6.412896296,1.26492,1.56972,0.92964,1.69164
9_32.1999,93100,9,32,1999,BF,9.50976,311.1,12.35525815,12.7,10.23763598,5.588070616,1.03632,0.73152,1.08204,0.50292
9_32.1999,93200,9,32,1999,BF,9.81456,303.1,12.35525815,15.74799951,11.75258498,6.274130939,0.25908,0.64008,1.93548,1.87452
9_32.1999,93400,9,32,1999,BF,10.14984,307.1,12.35525815,14.73200049,11.27248307,6.069061057,0.3048,0.28956,1.15824,2.49936
9_32.1999,95200,9,32,1999,BF,15.94104,330.1,12.35525815,20.32,13.79352492,7.18533119,2.01168,2.4384,2.33172,1.88976
